ip_id,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR,label
1,1990.0,2011-12-11,0.0,45864.0,876428.0,2.0,2.0,3.0,9,4.0,9.0,9.0,10.0,3.0,7.0,5.0,5.0,7.0,1.0,7.0,1.0,0.0,9.0,8.0,13.0,8.16666666666667,5001.89236111111,3.81818181818182,5355.80454545455,42.0,7.0,19.0,21.0,16.0,16.0,19.0,50.0,50.0,0.0
2,1986.0,2010-06-08,1.0,43355.0,540649.0,2.0,2.0,1.0,3,2.0,10.0,10.0,6.0,6.0,2.0,11.0,5.0,3.0,1.0,8.0,0.0,1.0,17.0,7.0,6.0,6.66666666666667,4087.81170634921,3.4166666666666696,5606.08472222222,41.0,7.0,17.0,24.0,12.0,17.0,21.0,46.0,53.0,0.0
3,1983.0,2013-12-06,0.0,48836.0,310503.0,2.0,2.0,2.0,12,14.0,5.0,9.0,5.0,3.0,4.0,7.0,5.0,1.0,0.0,11.0,0.0,3.0,14.0,5.0,8.0,7.66666666666667,5514.85900234025,3.5,4645.75972222222,42.0,4.0,23.0,21.0,21.0,2.0,26.0,40.0,59.0,0.0
4,1984.0,2009-12-27,0.0,44397.0,34209.0,2.0,2.0,5.0,11,8.0,7.0,3.0,11.0,7.0,4.0,13.0,5.0,4.0,0.0,7.0,0.0,4.0,14.0,1.0,6.0,7.66666666666667,5041.683567821071,3.09090909090909,3239.0939393939398,34.0,14.0,14.0,23.0,17.0,11.0,17.0,47.0,52.0,0.0
5,1986.0,2006-09-01,1.0,43281.0,39963.0,2.0,3.0,6.0,9,10.0,5.0,17.0,6.0,3.0,2.0,10.0,0.0,4.0,0.0,13.0,0.0,2.0,14.0,1.0,8.0,7.91666666666667,5762.76247911445,3.2727272727272703,5345.94393939394,36.0,19.0,22.0,19.0,25.0,11.0,2.0,44.0,55.0,0.0
6,1987.0,2005-06-17,0.0,49867.0,590634.0,2.0,4.0,2.0,12,9.0,4.0,6.0,8.0,3.0,2.0,9.0,3.0,4.0,1.0,10.0,2.0,1.0,12.0,5.0,14.0,7.25,5057.01851851852,3.6363636363636402,6671.075757575761,40.0,2.0,20.0,20.0,17.0,17.0,22.0,67.0,32.0,0.0
7,1984.0,2014-07-30,1.0,42205.0,500.0,2.0,3.0,2.0,6,6.0,7.0,6.0,8.0,3.0,2.0,9.0,5.0,5.0,0.0,8.0,0.0,1.0,12.0,7.0,12.0,9.0,4881.021833490579,2.8333333333333304,7488.777777777779,34.0,14.0,14.0,17.0,26.0,2.0,23.0,32.0,67.0,0.0
8,1976.0,2014-06-27,0.0,42422.0,845055.0,2.0,2.0,6.0,2,4.0,8.0,13.0,10.0,1.0,1.0,9.0,9.0,4.0,0.0,7.0,1.0,3.0,11.0,7.0,8.0,8.0,4724.61985653236,3.2727272727272703,4202.646212121211,36.0,11.0,22.0,19.0,16.0,11.0,19.0,50.0,50.0,0.0
9,1983.0,2006-04-21,1.0,38264.0,1717875.0,1.0,2.0,3.0,2,8.0,9.0,4.0,7.0,2.0,4.0,13.0,9.0,6.0,0.0,7.0,2.0,2.0,10.0,3.0,7.0,6.91666666666667,4632.231018518521,2.9166666666666696,5645.294444444439,35.0,8.0,25.0,14.0,17.0,11.0,22.0,45.0,54.0,0.0
10,1971.0,2012-04-07,0.0,36869.0,1070116.0,2.0,3.0,4.0,7,12.0,3.0,12.0,6.0,4.0,5.0,12.0,3.0,2.0,0.0,16.0,0.0,1.0,11.0,6.0,7.0,8.33333333333333,5469.193025493029,3.5,5020.652777777779,42.0,9.0,23.0,11.0,16.0,19.0,19.0,66.0,33.0,0.0
11,1986.0,2018-01-11,0.0,38003.0,397567.0,1.0,4.0,2.0,4,7.0,5.0,5.0,9.0,3.0,2.0,15.0,6.0,2.0,1.0,3.0,1.0,5.0,14.0,2.0,12.0,6.41666666666667,5170.80117845118,4.5,5455.16865079365,54.0,5.0,24.0,11.0,24.0,9.0,25.0,50.0,50.0,0.0
12,1974.0,2010-09-29,0.0,40798.0,500.0,2.0,2.0,2.0,1,7.0,8.0,3.0,13.0,1.0,2.0,5.0,4.0,2.0,0.0,7.0,0.0,4.0,14.0,10.0,14.0,7.5,4829.23160774411,2.9166666666666696,5650.95,35.0,5.0,14.0,25.0,31.0,14.0,8.0,42.0,57.0,0.0
13,1975.0,2010-02-10,0.0,52613.0,113162.0,1.0,2.0,2.0,2,4.0,7.0,8.0,6.0,1.0,1.0,12.0,4.0,7.0,0.0,10.0,1.0,7.0,14.0,4.0,7.0,6.83333333333333,4860.708333333329,4.0,5397.340476190479,40.0,2.0,25.0,20.0,22.0,12.0,17.0,57.0,42.0,0.0
14,1981.0,2008-09-27,0.0,47852.0,500.0,2.0,4.0,1.0,9,11.0,9.0,10.0,7.0,2.0,5.0,7.0,4.0,3.0,0.0,13.0,1.0,3.0,7.0,4.0,10.0,8.0,5661.4251818783105,2.3636363636363598,5063.45,26.0,7.0,26.0,11.0,30.0,7.0,15.0,57.0,42.0,0.0
15,1977.0,2009-01-03,0.0,51124.0,210259.0,2.0,2.0,3.0,3,5.0,9.0,10.0,3.0,0.0,4.0,14.0,8.0,2.0,0.0,9.0,0.0,6.0,10.0,1.0,8.0,8.66666666666667,5334.211724155471,3.6666666666666696,4830.1,44.0,9.0,9.0,25.0,25.0,15.0,15.0,63.0,36.0,0.0
16,1978.0,2013-09-20,2.0,46200.0,500.0,2.0,1.0,6.0,7,9.0,9.0,5.0,11.0,2.0,3.0,2.0,3.0,4.0,0.0,7.0,0.0,8.0,21.0,1.0,9.0,7.08333333333333,5362.44503968254,3.5,4039.23,35.0,17.0,20.0,20.0,11.0,2.0,28.0,57.0,42.0,0.0
17,1980.0,2011-07-19,0.0,37366.0,500.0,1.0,4.0,6.0,5,7.0,9.0,9.0,5.0,5.0,4.0,11.0,2.0,2.0,0.0,13.0,2.0,5.0,8.0,6.0,6.0,9.25,5843.609301346801,3.09090909090909,5927.61796536797,34.0,5.0,11.0,29.0,20.0,11.0,20.0,50.0,50.0,0.0
18,1986.0,2011-10-25,1.0,42875.0,110451.0,1.0,2.0,2.0,7,11.0,8.0,12.0,8.0,4.0,2.0,10.0,1.0,5.0,0.0,7.0,1.0,6.0,10.0,4.0,11.0,8.33333333333333,4742.11628787879,3.6666666666666696,5033.3787037037,44.0,6.0,15.0,20.0,34.0,6.0,15.0,52.0,47.0,0.0
19,1973.0,2009-12-17,0.0,44089.0,500.0,2.0,4.0,6.0,5,9.0,6.0,4.0,9.0,5.0,3.0,5.0,6.0,3.0,0.0,9.0,1.0,1.0,12.0,8.0,12.0,7.25,5672.466284641279,2.3636363636363598,6253.648484848481,26.0,11.0,23.0,15.0,23.0,11.0,15.0,42.0,57.0,0.0
20,1978.0,2011-01-07,0.0,36462.0,500.0,2.0,3.0,6.0,12,9.0,11.0,11.0,11.0,2.0,3.0,9.0,6.0,3.0,1.0,6.0,1.0,2.0,10.0,7.0,8.0,8.33333333333333,5139.38455572206,3.9166666666666696,4180.36726190476,47.0,10.0,21.0,12.0,23.0,8.0,23.0,51.0,48.0,0.0
21,1983.0,2003-09-23,0.0,47091.0,500.0,2.0,2.0,1.0,8,5.0,4.0,3.0,10.0,0.0,3.0,11.0,5.0,3.0,0.0,8.0,0.0,3.0,17.0,5.0,14.0,8.66666666666667,5966.12546296296,2.6,6500.2,26.0,7.0,30.0,11.0,19.0,11.0,19.0,53.0,46.0,0.0
22,1974.0,2013-12-03,0.0,47494.0,1016093.0,2.0,4.0,6.0,7,9.0,6.0,9.0,8.0,3.0,5.0,8.0,2.0,3.0,0.0,9.0,0.0,1.0,10.0,6.0,13.0,9.25,5711.4521494709,3.6363636363636402,6574.654545454539,40.0,2.0,20.0,12.0,22.0,20.0,22.0,55.0,45.0,0.0
23,1984.0,2010-08-17,0.0,44339.0,311823.0,1.0,2.0,6.0,3,5.0,9.0,7.0,7.0,8.0,3.0,8.0,6.0,5.0,0.0,12.0,1.0,2.0,8.0,6.0,13.0,8.33333333333333,6266.98343138343,3.0,4064.24305555556,36.0,2.0,22.0,13.0,33.0,11.0,16.0,52.0,47.0,0.0
24,1982.0,2006-08-06,0.0,42461.0,500.0,1.0,4.0,1.0,5,8.0,7.0,3.0,7.0,4.0,8.0,6.0,5.0,6.0,0.0,11.0,0.0,3.0,14.0,6.0,10.0,8.16666666666667,5391.51037157287,3.2,4567.655,32.0,6.0,15.0,12.0,18.0,18.0,28.0,59.0,40.0,0.0
25,1984.0,2011-01-03,0.0,50038.0,500.0,1.0,1.0,1.0,12,8.0,9.0,11.0,8.0,4.0,3.0,5.0,3.0,5.0,1.0,11.0,1.0,1.0,12.0,5.0,9.0,8.0,5306.4087512025,3.1666666666666696,5499.830555555561,38.0,7.0,10.0,26.0,23.0,15.0,15.0,52.0,47.0,0.0
26,1987.0,2012-10-16,2.0,42263.0,382008.0,1.0,1.0,3.0,7,4.0,7.0,6.0,6.0,5.0,3.0,10.0,8.0,3.0,0.0,15.0,1.0,3.0,11.0,5.0,7.0,7.75,5163.949125180379,3.6666666666666696,4453.22817460317,44.0,6.0,20.0,22.0,13.0,9.0,27.0,52.0,47.0,0.0
27,1981.0,2011-09-22,0.0,46058.0,500.0,2.0,2.0,3.0,11,14.0,7.0,8.0,4.0,0.0,1.0,8.0,5.0,5.0,0.0,12.0,0.0,1.0,13.0,4.0,8.0,9.33333333333333,5286.01742424242,3.75,5869.929563492061,45.0,6.0,26.0,20.0,15.0,15.0,15.0,64.0,35.0,0.0
28,1979.0,2010-07-31,1.0,47459.0,500.0,1.0,3.0,1.0,2,9.0,5.0,11.0,3.0,2.0,6.0,6.0,7.0,4.0,0.0,12.0,0.0,0.0,15.0,5.0,9.0,10.0,5123.531203403079,3.1666666666666696,5412.56011904762,38.0,10.0,23.0,15.0,18.0,10.0,21.0,50.0,50.0,0.0
29,1981.0,2011-03-31,0.0,46190.0,731969.0,1.0,1.0,3.0,6,6.0,8.0,10.0,5.0,3.0,2.0,9.0,5.0,3.0,1.0,13.0,2.0,1.0,10.0,4.0,12.0,7.83333333333333,6129.372379009879,3.3,5899.33666666667,33.0,12.0,21.0,18.0,24.0,6.0,18.0,51.0,48.0,0.0
30,1983.0,2007-12-12,0.0,42028.0,500.0,2.0,2.0,1.0,3,10.0,8.0,12.0,7.0,2.0,4.0,12.0,9.0,1.0,0.0,8.0,0.0,0.0,10.0,2.0,8.0,9.0,5294.135416666671,4.0,3836.5367965368,44.0,0.0,9.0,31.0,22.0,11.0,25.0,59.0,40.0,0.0
31,1990.0,2007-02-01,0.0,40194.0,1247643.0,2.0,4.0,2.0,7,8.0,9.0,15.0,7.0,6.0,3.0,5.0,5.0,2.0,0.0,6.0,2.0,5.0,7.0,3.0,11.0,7.75,4585.72634680135,3.3636363636363598,4841.16060606061,37.0,13.0,29.0,24.0,16.0,5.0,10.0,45.0,54.0,0.0
32,1984.0,2010-08-05,0.0,46893.0,500.0,1.0,4.0,4.0,1,6.0,3.0,12.0,7.0,2.0,1.0,3.0,6.0,2.0,0.0,12.0,0.0,4.0,12.0,9.0,14.0,7.33333333333333,5544.36501322751,4.41666666666667,6400.379563492061,53.0,7.0,22.0,16.0,20.0,13.0,18.0,62.0,37.0,0.0
33,1981.0,2011-09-17,0.0,40057.0,365640.0,2.0,2.0,2.0,9,11.0,5.0,10.0,8.0,2.0,1.0,5.0,8.0,0.0,1.0,3.0,1.0,1.0,15.0,8.0,16.0,7.16666666666667,5458.530241402121,3.09090909090909,5085.53787878788,34.0,8.0,17.0,17.0,20.0,8.0,26.0,44.0,55.0,0.0
34,1978.0,2008-05-12,0.0,46484.0,500.0,1.0,1.0,3.0,6,10.0,9.0,8.0,13.0,2.0,2.0,5.0,7.0,6.0,2.0,7.0,1.0,2.0,9.0,3.0,6.0,7.58333333333333,4364.894681938429,3.0,6813.1487012987,33.0,6.0,18.0,27.0,30.0,9.0,9.0,36.0,63.0,0.0
35,1985.0,2012-01-23,0.0,47048.0,808283.0,2.0,2.0,1.0,8,8.0,8.0,6.0,9.0,2.0,4.0,9.0,3.0,6.0,1.0,12.0,0.0,4.0,9.0,5.0,9.0,7.91666666666667,5066.97186147186,2.81818181818182,3724.0606060606106,31.0,16.0,16.0,22.0,22.0,6.0,16.0,48.0,51.0,0.0
36,1978.0,2011-08-22,0.0,46897.0,500.0,2.0,1.0,4.0,9,5.0,4.0,11.0,6.0,5.0,3.0,14.0,4.0,4.0,0.0,6.0,3.0,3.0,9.0,6.0,13.0,8.0,4672.91668701669,2.81818181818182,4551.43636363636,31.0,12.0,19.0,9.0,29.0,3.0,25.0,45.0,54.0,0.0
37,1980.0,2016-04-03,0.0,43541.0,500.0,2.0,2.0,5.0,9,11.0,5.0,7.0,5.0,2.0,2.0,12.0,5.0,2.0,0.0,10.0,0.0,8.0,11.0,9.0,8.0,8.08333333333333,5338.7120039682595,3.18181818181818,5189.15909090909,35.0,22.0,28.0,8.0,22.0,5.0,11.0,40.0,60.0,0.0
38,1982.0,2011-12-02,0.0,41488.0,500.0,1.0,1.0,4.0,4,8.0,12.0,6.0,8.0,1.0,1.0,5.0,6.0,7.0,0.0,13.0,0.0,2.0,6.0,4.0,11.0,8.83333333333333,4784.36650895401,2.8333333333333304,4441.664682539679,34.0,11.0,38.0,14.0,11.0,2.0,20.0,52.0,47.0,0.0
39,1983.0,2007-03-01,2.0,51293.0,786539.0,2.0,1.0,2.0,11,7.0,8.0,7.0,7.0,4.0,5.0,11.0,3.0,6.0,0.0,11.0,0.0,1.0,8.0,6.0,11.0,7.91666666666667,5620.07652417027,3.1666666666666696,4542.04027777778,38.0,2.0,31.0,21.0,21.0,10.0,13.0,44.0,55.0,0.0
40,1984.0,2010-07-30,0.0,44021.0,376487.0,1.0,3.0,1.0,4,9.0,3.0,14.0,10.0,1.0,3.0,6.0,5.0,3.0,0.0,7.0,1.0,3.0,11.0,7.0,11.0,7.83333333333333,4645.2631974507,3.9166666666666696,4772.74583333333,47.0,19.0,23.0,12.0,12.0,6.0,25.0,53.0,46.0,0.0
41,1978.0,2011-06-06,0.0,44690.0,500.0,1.0,3.0,6.0,1,11.0,10.0,5.0,4.0,2.0,2.0,8.0,6.0,3.0,1.0,8.0,1.0,4.0,14.0,4.0,11.0,7.83333333333333,4783.49408577534,3.09090909090909,6426.648917748921,34.0,8.0,20.0,29.0,11.0,17.0,11.0,55.0,44.0,0.0
42,1983.0,2009-09-19,1.0,43978.0,500.0,1.0,1.0,1.0,8,11.0,8.0,9.0,6.0,1.0,4.0,4.0,6.0,1.0,0.0,11.0,0.0,3.0,12.0,7.0,11.0,6.75,4801.1875,3.6666666666666696,6296.67685185185,44.0,9.0,22.0,15.0,15.0,15.0,20.0,45.0,54.0,0.0
43,1983.0,2005-09-06,0.0,41801.0,48533.0,2.0,4.0,6.0,9,11.0,12.0,10.0,5.0,1.0,1.0,12.0,5.0,3.0,0.0,6.0,0.0,2.0,8.0,5.0,8.0,8.66666666666667,5469.9873034372995,2.5833333333333304,5808.975,31.0,9.0,32.0,3.0,25.0,16.0,12.0,45.0,54.0,0.0
44,1982.0,2011-10-10,1.0,40475.0,500.0,1.0,4.0,6.0,8,10.0,10.0,7.0,14.0,1.0,0.0,10.0,3.0,1.0,0.0,8.0,0.0,0.0,11.0,4.0,9.0,8.5,5138.10052285677,3.5,6170.42103174603,42.0,14.0,16.0,21.0,23.0,9.0,14.0,42.0,57.0,0.0
45,1987.0,2006-05-29,0.0,40843.0,500.0,1.0,1.0,5.0,12,15.0,9.0,14.0,5.0,3.0,4.0,7.0,6.0,1.0,0.0,8.0,0.0,1.0,6.0,2.0,7.0,8.5,6002.1437018999495,3.25,4940.95138888889,39.0,17.0,12.0,17.0,23.0,7.0,20.0,56.0,43.0,0.0
46,1978.0,2006-09-28,0.0,51922.0,500.0,2.0,2.0,5.0,2,7.0,4.0,10.0,14.0,2.0,1.0,7.0,4.0,4.0,0.0,19.0,1.0,1.0,11.0,1.0,8.0,7.66666666666667,5836.86671823547,2.7272727272727297,6096.142424242429,30.0,6.0,13.0,30.0,16.0,16.0,16.0,63.0,36.0,0.0
47,1982.0,2010-07-30,0.0,41720.0,1409864.0,1.0,3.0,3.0,2,10.0,8.0,6.0,12.0,0.0,2.0,11.0,1.0,1.0,0.0,11.0,2.0,4.0,5.0,6.0,8.0,8.5,5931.41931309431,3.5833333333333304,5805.90456349206,43.0,11.0,20.0,16.0,25.0,4.0,20.0,41.0,58.0,0.0
48,1972.0,2010-08-14,1.0,40791.0,500.0,1.0,1.0,4.0,8,9.0,10.0,11.0,4.0,6.0,1.0,8.0,3.0,3.0,0.0,6.0,1.0,4.0,8.0,7.0,12.0,7.75,6129.965480352979,3.25,5836.9513888888905,39.0,12.0,12.0,12.0,17.0,15.0,28.0,64.0,35.0,0.0
49,1983.0,2013-04-22,0.0,44908.0,500.0,1.0,1.0,6.0,5,15.0,3.0,11.0,4.0,6.0,3.0,9.0,1.0,3.0,0.0,6.0,1.0,1.0,12.0,7.0,11.0,7.33333333333333,5950.248569023571,2.8333333333333304,5587.3888888888905,34.0,17.0,14.0,11.0,23.0,14.0,17.0,50.0,50.0,0.0
50,1979.0,2010-12-28,2.0,44238.0,158388.0,1.0,1.0,1.0,3,10.0,3.0,12.0,12.0,2.0,3.0,9.0,6.0,2.0,0.0,4.0,0.0,0.0,9.0,8.0,13.0,6.83333333333333,5445.520039682539,3.25,5285.952777777779,39.0,12.0,23.0,28.0,15.0,7.0,12.0,46.0,53.0,0.0
51,1989.0,2008-01-29,0.0,44408.0,135484.0,1.0,2.0,4.0,6,6.0,10.0,12.0,7.0,5.0,5.0,7.0,4.0,3.0,0.0,8.0,2.0,2.0,10.0,2.0,9.0,9.75,5401.048809523811,3.25,7791.96984126984,39.0,15.0,10.0,12.0,28.0,5.0,28.0,48.0,51.0,0.0
52,1977.0,2014-03-07,0.0,41261.0,500.0,1.0,1.0,4.0,3,8.0,5.0,8.0,8.0,3.0,9.0,8.0,3.0,7.0,0.0,4.0,1.0,1.0,12.0,4.0,12.0,7.58333333333333,4636.279629629629,3.25,5822.08333333333,39.0,12.0,17.0,35.0,15.0,7.0,10.0,53.0,46.0,0.0
53,1983.0,2014-03-17,0.0,38783.0,35482.0,1.0,4.0,5.0,1,2.0,5.0,10.0,6.0,1.0,6.0,8.0,5.0,6.0,0.0,8.0,0.0,3.0,13.0,6.0,13.0,7.41666666666667,4695.32986111111,3.54545454545455,5404.3484848484795,39.0,7.0,20.0,23.0,20.0,15.0,12.0,51.0,48.0,0.0
54,1983.0,2011-04-21,0.0,42495.0,599543.0,2.0,4.0,1.0,8,8.0,4.0,7.0,9.0,3.0,4.0,7.0,5.0,5.0,0.0,9.0,0.0,2.0,8.0,8.0,13.0,8.91666666666667,4964.6017466329995,2.8333333333333304,5303.395833333329,34.0,5.0,11.0,14.0,35.0,11.0,20.0,55.0,44.0,0.0
