ip_id,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month
1,4.0,9.0,9.0,10.0,3.0,7.0,5.0,5.0,7.0,1.0,7.0,1.0,0.0,9.0,8.0,13.0,8.16666666666667,5001.89236111111
2,2.0,10.0,10.0,6.0,6.0,2.0,11.0,5.0,3.0,1.0,8.0,0.0,1.0,17.0,7.0,6.0,6.66666666666667,4087.81170634921
3,14.0,5.0,9.0,5.0,3.0,4.0,7.0,5.0,1.0,0.0,11.0,0.0,3.0,14.0,5.0,8.0,7.66666666666667,5514.85900234025
4,8.0,7.0,3.0,11.0,7.0,4.0,13.0,5.0,4.0,0.0,7.0,0.0,4.0,14.0,1.0,6.0,7.66666666666667,5041.683567821071
5,10.0,5.0,17.0,6.0,3.0,2.0,10.0,0.0,4.0,0.0,13.0,0.0,2.0,14.0,1.0,8.0,7.91666666666667,5762.76247911445
6,9.0,4.0,6.0,8.0,3.0,2.0,9.0,3.0,4.0,1.0,10.0,2.0,1.0,12.0,5.0,14.0,7.25,5057.01851851852
7,6.0,7.0,6.0,8.0,3.0,2.0,9.0,5.0,5.0,0.0,8.0,0.0,1.0,12.0,7.0,12.0,9.0,4881.021833490579
8,4.0,8.0,13.0,10.0,1.0,1.0,9.0,9.0,4.0,0.0,7.0,1.0,3.0,11.0,7.0,8.0,8.0,4724.61985653236
9,8.0,9.0,4.0,7.0,2.0,4.0,13.0,9.0,6.0,0.0,7.0,2.0,2.0,10.0,3.0,7.0,6.91666666666667,4632.231018518521
10,12.0,3.0,12.0,6.0,4.0,5.0,12.0,3.0,2.0,0.0,16.0,0.0,1.0,11.0,6.0,7.0,8.33333333333333,5469.193025493029
11,7.0,5.0,5.0,9.0,3.0,2.0,15.0,6.0,2.0,1.0,3.0,1.0,5.0,14.0,2.0,12.0,6.41666666666667,5170.80117845118
12,7.0,8.0,3.0,13.0,1.0,2.0,5.0,4.0,2.0,0.0,7.0,0.0,4.0,14.0,10.0,14.0,7.5,4829.23160774411
13,4.0,7.0,8.0,6.0,1.0,1.0,12.0,4.0,7.0,0.0,10.0,1.0,7.0,14.0,4.0,7.0,6.83333333333333,4860.708333333329
14,11.0,9.0,10.0,7.0,2.0,5.0,7.0,4.0,3.0,0.0,13.0,1.0,3.0,7.0,4.0,10.0,8.0,5661.4251818783105
15,5.0,9.0,10.0,3.0,0.0,4.0,14.0,8.0,2.0,0.0,9.0,0.0,6.0,10.0,1.0,8.0,8.66666666666667,5334.211724155471
16,9.0,9.0,5.0,11.0,2.0,3.0,2.0,3.0,4.0,0.0,7.0,0.0,8.0,21.0,1.0,9.0,7.08333333333333,5362.44503968254
17,7.0,9.0,9.0,5.0,5.0,4.0,11.0,2.0,2.0,0.0,13.0,2.0,5.0,8.0,6.0,6.0,9.25,5843.609301346801
18,11.0,8.0,12.0,8.0,4.0,2.0,10.0,1.0,5.0,0.0,7.0,1.0,6.0,10.0,4.0,11.0,8.33333333333333,4742.11628787879
19,9.0,6.0,4.0,9.0,5.0,3.0,5.0,6.0,3.0,0.0,9.0,1.0,1.0,12.0,8.0,12.0,7.25,5672.466284641279
20,9.0,11.0,11.0,11.0,2.0,3.0,9.0,6.0,3.0,1.0,6.0,1.0,2.0,10.0,7.0,8.0,8.33333333333333,5139.38455572206
21,5.0,4.0,3.0,10.0,0.0,3.0,11.0,5.0,3.0,0.0,8.0,0.0,3.0,17.0,5.0,14.0,8.66666666666667,5966.12546296296
