ip_id,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR
1,3.81818181818182,5355.80454545455,42,7.0,19.0,21.0,16.0,16.0,19.0,50.0,50.0
10,3.5,5020.65277777778,42,9.0,23.0,11.0,16.0,19.0,19.0,66.0,33.0
100,3.66666666666667,4559.87222222222,44,11.0,13.0,22.0,25.0,9.0,18.0,52.0,47.0
1000,3.36363636363636,4074.75252525253,37,8.0,21.0,13.0,18.0,16.0,21.0,62.0,37.0
10000,12.0,13157.2335622711,84,0.0,7.0,46.0,28.0,17.0,0.0,36.0,63.0
10001,7.28571428571429,29570.3934343434,51,0.0,0.0,23.0,45.0,0.0,31.0,49.0,50.0
10002,10.5,12719.5673789174,63,0.0,11.0,50.0,33.0,4.0,0.0,36.0,63.0
10003,16.1428571428571,24133.3964835934,113,0.0,3.0,66.0,16.0,7.0,5.0,40.0,59.0
10004,3.0,15147.2083333333,18,0.0,0.0,11.0,50.0,5.0,33.0,50.0,50.0
10005,4.71428571428571,19051.230952381,33,0.0,21.0,9.0,63.0,6.0,0.0,39.0,60.0
10006,5.0,22261.9634920635,30,0.0,3.0,56.0,30.0,3.0,6.0,43.0,56.0
10007,10.1666666666667,29110.6394179894,61,0.0,0.0,81.0,18.0,0.0,0.0,42.0,57.0
10008,10.1428571428571,63301.3871521336,71,0.0,8.0,32.0,35.0,15.0,8.0,38.0,61.0
10009,8.57142857142857,12901.5606401535,60,5.0,16.0,40.0,38.0,0.0,0.0,18.0,81.0
1001,3.45454545454545,4704.38939393939,38,10.0,23.0,15.0,23.0,15.0,10.0,60.0,39.0
10011,16.2857142857143,14132.9550035804,114,0.0,14.0,51.0,28.0,3.0,0.0,42.0,57.0
10012,5.85714285714286,16106.5023809524,41,0.0,24.0,17.0,56.0,0.0,2.0,21.0,78.0
10013,4.57142857142857,17347.5444444444,32,0.0,3.0,53.0,18.0,3.0,21.0,31.0,68.0
10014,4.28571428571429,20216.3503401361,30,0.0,0.0,10.0,66.0,3.0,20.0,53.0,46.0
10015,2.66666666666667,18253.4166666667,16,0.0,43.0,6.0,50.0,0.0,0.0,50.0,50.0
10016,14.4285714285714,19315.8573979592,101,0.0,5.0,49.0,37.0,4.0,0.0,45.0,54.0
10017,3.33333333333333,11660.1166666667,20,0.0,0.0,5.0,50.0,0.0,45.0,45.0,55.0
10018,7.0,15904.0555991627,49,6.0,12.0,20.0,53.0,2.0,6.0,42.0,57.0
1002,3.63636363636364,4928.01666666667,40,12.0,15.0,20.0,25.0,12.0,15.0,45.0,55.0
10020,18.3333333333333,12532.9772653001,110,2.0,18.0,52.0,20.0,5.0,0.0,45.0,54.0
10021,26.5714285714286,28527.0338509705,186,0.0,6.0,53.0,30.0,2.0,6.0,38.0,61.0
10022,8.28571428571429,14765.2571428571,58,0.0,29.0,32.0,32.0,3.0,1.0,25.0,74.0
10023,2.8,39568.98,14,0.0,0.0,50.0,42.0,0.0,7.0,42.0,57.0
10024,10.8571428571429,9707.34489795918,76,7.0,0.0,38.0,38.0,0.0,15.0,34.0,65.0
10025,3.0,18079.6611111111,18,0.0,22.0,5.0,50.0,0.0,22.0,33.0,66.0
10026,24.8571428571429,10971.497220696,174,23.0,0.0,52.0,22.0,0.0,0.0,39.0,60.0
10027,4.16666666666667,14568.5,25,0.0,4.0,52.0,20.0,0.0,24.0,32.0,68.0
10028,1.5,15991.75,3,0.0,0.0,66.0,0.0,0.0,33.0,33.0,66.0
10029,5.0,11574.8988095238,35,0.0,0.0,5.0,62.0,31.0,0.0,40.0,60.0
1003,3.09090909090909,5449.94393939394,34,5.0,20.0,5.0,32.0,5.0,29.0,58.0,41.0
10030,10.7142857142857,16779.7142857143,75,0.0,12.0,36.0,46.0,4.0,1.0,37.0,62.0
