ip_id,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR
1,42,7.0,19.0,21.0,16.0,16.0,19.0,50.0,50.0
10,42,9.0,23.0,11.0,16.0,19.0,19.0,66.0,33.0
100,44,11.0,13.0,22.0,25.0,9.0,18.0,52.0,47.0
1000,37,8.0,21.0,13.0,18.0,16.0,21.0,62.0,37.0
10000,84,0.0,7.0,46.0,28.0,17.0,0.0,36.0,63.0
10001,51,0.0,0.0,23.0,45.0,0.0,31.0,49.0,50.0
10002,63,0.0,11.0,50.0,33.0,4.0,0.0,36.0,63.0
10003,113,0.0,3.0,66.0,16.0,7.0,5.0,40.0,59.0
10004,18,0.0,0.0,11.0,50.0,5.0,33.0,50.0,50.0
10005,33,0.0,21.0,9.0,63.0,6.0,0.0,39.0,60.0
10006,30,0.0,3.0,56.0,30.0,3.0,6.0,43.0,56.0
10007,61,0.0,0.0,81.0,18.0,0.0,0.0,42.0,57.0
10008,71,0.0,8.0,32.0,35.0,15.0,8.0,38.0,61.0
10009,60,5.0,16.0,40.0,38.0,0.0,0.0,18.0,81.0
1001,38,10.0,23.0,15.0,23.0,15.0,10.0,60.0,39.0
10011,114,0.0,14.0,51.0,28.0,3.0,0.0,42.0,57.0
10012,41,0.0,24.0,17.0,56.0,0.0,2.0,21.0,78.0
10013,32,0.0,3.0,53.0,18.0,3.0,21.0,31.0,68.0
10014,30,0.0,0.0,10.0,66.0,3.0,20.0,53.0,46.0
10015,16,0.0,43.0,6.0,50.0,0.0,0.0,50.0,50.0
10016,101,0.0,5.0,49.0,37.0,4.0,0.0,45.0,54.0
10017,20,0.0,0.0,5.0,50.0,0.0,45.0,45.0,55.0
10018,49,6.0,12.0,20.0,53.0,2.0,6.0,42.0,57.0
1002,40,12.0,15.0,20.0,25.0,12.0,15.0,45.0,55.0
10020,110,2.0,18.0,52.0,20.0,5.0,0.0,45.0,54.0
10021,186,0.0,6.0,53.0,30.0,2.0,6.0,38.0,61.0
10022,58,0.0,29.0,32.0,32.0,3.0,1.0,25.0,74.0
10023,14,0.0,0.0,50.0,42.0,0.0,7.0,42.0,57.0
10024,76,7.0,0.0,38.0,38.0,0.0,15.0,34.0,65.0
10025,18,0.0,22.0,5.0,50.0,0.0,22.0,33.0,66.0
10026,174,23.0,0.0,52.0,22.0,0.0,0.0,39.0,60.0
10027,25,0.0,4.0,52.0,20.0,0.0,24.0,32.0,68.0
10028,3,0.0,0.0,66.0,0.0,0.0,33.0,33.0,66.0
10029,35,0.0,0.0,5.0,62.0,31.0,0.0,40.0,60.0
1003,34,5.0,20.0,5.0,32.0,5.0,29.0,58.0,41.0
10030,75,0.0,12.0,36.0,46.0,4.0,1.0,37.0,62.0
10031,26,0.0,38.0,0.0,61.0,0.0,0.0,26.0,73.0
10032,22,0.0,0.0,68.0,31.0,0.0,0.0,27.0,72.0
10034,75,0.0,4.0,58.0,22.0,5.0,9.0,50.0,49.0
10036,104,0.0,0.0,50.0,38.0,2.0,6.0,30.0,69.0
10037,54,0.0,5.0,37.0,27.0,16.0,12.0,44.0,55.0
10038,124,0.0,5.0,84.0,4.0,0.0,4.0,49.0,50.0
10039,50,0.0,2.0,46.0,32.0,2.0,18.0,30.0,70.0
1004,39,5.0,10.0,28.0,23.0,12.0,20.0,51.0,48.0
10040,232,5.0,0.0,59.0,31.0,2.0,0.0,33.0,66.0
10041,143,0.0,0.0,51.0,36.0,3.0,7.0,48.0,51.0
10042,26,0.0,0.0,38.0,38.0,0.0,23.0,42.0,57.0
10043,34,0.0,0.0,11.0,55.0,0.0,32.0,32.0,67.0
10044,37,2.0,8.0,35.0,43.0,10.0,0.0,43.0,56.0
10046,12,0.0,41.0,0.0,58.0,0.0,0.0,50.0,50.0
10048,42,0.0,7.0,38.0,40.0,0.0,14.0,28.0,71.0
10049,24,0.0,62.0,0.0,37.0,0.0,0.0,58.0,41.0
1005,49,10.0,24.0,26.0,6.0,12.0,20.0,46.0,53.0
10051,38,0.0,0.0,81.0,5.0,13.0,0.0,44.0,55.0
10053,15,0.0,0.0,33.0,66.0,0.0,0.0,33.0,66.0
10055,1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0
10056,162,0.0,6.0,49.0,29.0,14.0,0.0,51.0,48.0
10057,35,0.0,17.0,74.0,8.0,0.0,0.0,40.0,60.0
10058,1,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0
10059,46,0.0,21.0,52.0,23.0,2.0,0.0,52.0,47.0
1006,39,15.0,12.0,20.0,10.0,10.0,30.0,48.0,51.0
