ip_id,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month
1,3.818181818,5355.804545,42,7,19,21,16,16,19,50,50,4,9,9,10,3,7,5,5,7,1,7,1,0,9,8,13,8.166666667,5001.892361
10,3.5,5020.652778,42,9,23,11,16,19,19,66,33,12,3,12,6,4,5,12,3,2,0,16,0,1,11,6,7,8.333333333,5469.193025
100,3.666666667,4559.872222,44,11,13,22,25,9,18,52,47,4,7,14,10,1,5,8,7,1,0,9,0,1,12,4,8,8.75,4548.612112
1000,3.363636364,4074.752525,37,8,21,13,18,16,21,62,37,9,7,12,6,2,3,6,10,5,0,9,0,1,10,4,12,8,4546.861516
10000,12,13157.23356,84,0,7,46,28,17,0,36,63,,,,,,,,,,,,,,,,,,
10001,7.285714286,29570.39343,51,0,0,23,45,0,31,49,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,50,1.428571429,16481.14286
10002,10.5,12719.56738,63,0,11,50,33,4,0,36,63,0,0,0,0,0,0,0,0,0,0,44,0,0,11,0,44,1.8,12598.9
10003,16.14285714,24133.39648,113,0,3,66,16,7,5,40,59,0,0,6,2,0,2,17,0,6,0,6,0,0,2,8,46,7.5,14804.64167
10004,3,15147.20833,18,0,0,11,50,5,33,50,50,,,,,,,,,,,,,,,,,,
10005,4.714285714,19051.23095,33,0,21,9,63,6,0,39,60,,,,,,,,,,,,,,,,,,
10006,5,22261.96349,30,0,3,56,30,3,6,43,56,7,2,10,2,0,0,0,7,2,0,8,0,1,15,4,37,10,13856.65609
10007,10.16666667,29110.63942,61,0,0,81,18,0,0,42,57,0,5,11,0,0,0,0,0,0,0,11,0,0,23,0,47,2.833333333,13312.84722
10008,10.14285714,63301.38715,71,0,8,32,35,15,8,38,61,0,0,5,0,0,0,0,0,5,0,0,0,0,11,0,76,2.833333333,11010.29444
10009,8.571428571,12901.56064,60,5,16,40,38,0,0,18,81,,,,,,,,,,,,,,,,,,
1001,3.454545455,4704.389394,38,10,23,15,23,15,10,60,39,2,5,12,5,1,1,7,6,4,0,11,1,4,8,10,17,8.454545455,4079.075383
10011,16.28571429,14132.955,114,0,14,51,28,3,0,42,57,0,0,22,11,0,0,0,0,0,0,0,0,0,0,0,66,1.5,13477.75
10012,5.857142857,16106.50238,41,0,24,17,56,0,2,21,78,,,,,,,,,,,,,,,,,,
10013,4.571428571,17347.54444,32,0,3,53,18,3,21,31,68,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,12,8,14388
10014,4.285714286,20216.35034,30,0,0,10,66,3,20,53,46,,,,,,,,,,,,,,,,,,
10015,2.666666667,18253.41667,16,0,43,6,50,0,0,50,50,,,,,,,,,,,,,,,,,,
10016,14.42857143,19315.8574,101,0,5,49,37,4,0,45,54,,,,,,,,,,,,,,,,,,
10017,3.333333333,11660.11667,20,0,0,5,50,0,45,45,55,,,,,,,,,,,,,,,,,,
10018,7,15904.0556,49,6,12,20,53,2,6,42,57,,,,,,,,,,,,,,,,,,
1002,3.636363636,4928.016667,40,12,15,20,25,12,15,45,55,5,8,6,7,1,2,12,9,5,0,8,1,2,11,7,8,8.916666667,4993.323973
10020,18.33333333,12532.97727,110,2,18,52,20,5,0,45,54,8,0,8,0,0,0,0,4,0,0,0,0,0,43,0,34,3.833333333,13607.02778
10021,26.57142857,28527.03385,186,0,6,53,30,2,6,38,61,0,0,0,0,0,0,0,0,0,0,0,0,28,42,0,28,1.4,9270.1
10022,8.285714286,14765.25714,58,0,29,32,32,3,1,25,74,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,76,1.857142857,14974.02857
10023,2.8,39568.98,14,0,0,50,42,0,7,42,57,0,0,0,0,0,10,0,0,20,0,10,0,0,0,0,60,2,11399.86667
10024,10.85714286,9707.344898,76,7,0,38,38,0,15,34,65,,,,,,,,,,,,,,,,,,
10025,3,18079.66111,18,0,22,5,50,0,22,33,66,,,,,,,,,,,,,,,,,,
10026,24.85714286,10971.49722,174,23,0,52,22,0,0,39,60,,,,,,,,,,,,,,,,,,
10027,4.166666667,14568.5,25,0,4,52,20,0,24,32,68,,,,,,,,,,,,,,,,,,
10028,1.5,15991.75,3,0,0,66,0,0,33,33,66,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14129
10029,5,11574.89881,35,0,0,5,62,31,0,40,60,,,,,,,,,,,,,,,,,,
1003,3.090909091,5449.943939,34,5,20,5,32,5,29,58,41,10,6,7,11,3,6,10,7,3,1,7,4,1,9,5,4,7.833333333,6461.626356
10030,10.71428571,16779.71429,75,0,12,36,46,4,1,37,62,0,0,0,25,0,0,0,0,0,0,50,0,0,25,0,0,2,54066.66667
10031,4.333333333,13349.52083,26,0,38,0,61,0,0,26,73,,,,,,,,,,,,,,,,,,
10032,3.142857143,12436.02381,22,0,0,68,31,0,0,27,72,,,,,,,,,,,,,,,,,,
10034,10.71428571,10943.13263,75,0,4,58,22,5,9,50,49,,,,,,,,,,,,,,,,,,
10036,14.85714286,14565.22396,104,0,0,50,38,2,6,30,69,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,33,1,20426
10037,7.714285714,29708.49913,54,0,5,37,27,16,12,44,55,11,0,11,0,0,5,5,0,2,0,8,0,0,17,0,35,4.857142857,10352.20748
10038,17.71428571,62727.46054,124,0,5,84,4,0,4,49,50,,,,,,,,,,,,,,,,,,
10039,8.333333333,9453.339478,50,0,2,46,32,2,18,30,70,,,,,,,,,,,,,,,,,,
1004,3.545454545,4726.537013,39,5,10,28,23,12,20,51,48,8,3,9,6,1,5,10,6,6,1,12,2,1,11,4,11,8,4602.51517
10040,38.66666667,25926.55781,232,5,0,59,31,2,0,33,66,,,,,,,,,,,,,,,,,,
10041,20.42857143,11536.06584,143,0,0,51,36,3,7,48,51,,,,,,,,,,,,,,,,,,
10042,3.714285714,18833.80238,26,0,0,38,38,0,23,42,57,,,,,,,,,,,,,,,,,,
10043,5.666666667,20099.80321,34,0,0,11,55,0,32,32,67,,,,,,,,,,,,,,,,,,
10044,5.285714286,13135.9381,37,2,8,35,43,10,0,43,56,,,,,,,,,,,,,,,,,,
10046,3,8106.428571,12,0,41,0,58,0,0,50,50,,,,,,,,,,,,,,,,,,
10048,6,16504.56803,42,0,7,38,40,0,14,28,71,,,,,,,,,,,,,,,,,,
10049,4,13723.86389,24,0,62,0,37,0,0,58,41,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,30,2,11547.85
1005,4.454545455,5689.733225,49,10,24,26,6,12,20,46,53,5,8,8,3,2,7,9,6,3,0,10,1,5,13,5,8,7.75,5900.172857
10051,5.428571429,10104.62857,38,0,0,81,5,13,0,44,55,25,0,50,25,0,0,0,0,0,0,0,0,0,0,0,0,2,10443
10053,2.142857143,12613.22619,15,0,0,33,66,0,0,33,66,,,,,,,,,,,,,,,,,,
10055,1,2521,1,0,0,100,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10056,23.14285714,19235.17063,162,0,6,49,29,14,0,51,48,0,0,0,18,0,0,0,0,0,0,22,0,0,0,0,59,3.666666667,29977.15278
10057,5,20182.58287,35,0,17,74,8,0,0,40,60,,,,,,,,,,,,,,,,,,
10058,1,3680,1,0,100,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,
10059,6.571428571,13047.9129,46,0,21,52,23,2,0,52,47,,,,,,,,,,,,,,,,,,
1006,3.25,6876.097222,39,15,12,20,10,10,30,48,51,2,3,15,10,2,6,10,7,3,0,8,0,0,10,3,14,6.916666667,5707.217839
10060,1.4,13366.4,7,0,0,28,71,0,0,71,28,0,0,5,0,0,0,0,0,0,0,16,0,11,0,0,66,3,11819.13889
10061,6.857142857,23584.34048,48,0,0,58,29,0,12,27,72,,,,,,,,,,,,,,,,,,
10062,18.66666667,18086.59816,112,4,6,53,31,2,1,33,66,,,,,,,,,,,,,,,,,,
10063,5.857142857,13241.51293,41,0,14,70,12,2,0,36,63,,,,,,,,,,,,,,,,,,
10064,3.166666667,14741.93611,19,0,5,5,57,5,26,36,63,,,,,,,,,,,,,,,,,,
10065,6.666666667,14059.55278,40,0,7,40,37,2,12,22,77,,,,,,,,,,,,,,,,,,
10066,52.42857143,208563.1493,367,1,29,50,14,1,1,67,32,,,,,,,,,,,,,,,,,,
10067,2.666666667,24513.65833,16,0,37,43,18,0,0,43,56,,,,,,,,,,,,,,,,,,
10068,5.166666667,13834.79048,31,0,0,19,45,3,32,35,64,,,,,,,,,,,,,,,,,,
10069,24.14285714,16450.14685,169,0,19,50,27,1,0,40,59,0,1,5,0,0,1,0,0,3,0,5,0,0,27,0,52,7.285714286,17804.34683
1007,2.727272727,5355.142424,30,0,6,30,20,10,33,53,46,14,6,9,5,3,1,9,4,6,0,14,2,3,9,3,6,7.666666667,5336.527925
