ip_id,label,brth_yr,act_strt_dt,no_of_dpnd_chl,cis_income,crn_bal,gnd_cd,mar_st_cd,ctf_tp_cd,ocp_cd,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9,cat10,cat11,cat12,cat13,cat14,cat15,cat16,cc_avg_freq_month,cc_avg_amt_month,sa_avg_freq_month,sa_avg_amt_month,total_use,EDC,Branch,KPlus,ATM,CDM,CorporateConnect,CR,DR
1,0.0,1990.0,2011-12-11,0.0,45864.0,876428.0,2.0,2.0,3.0,9,4.0,9.0,9.0,10.0,3.0,7.0,5.0,5.0,7.0,1.0,7.0,1.0,0.0,9.0,8.0,13.0,8.16666666666667,5001.89236111111,3.81818181818182,5355.80454545455,42.0,7.0,19.0,21.0,16.0,16.0,19.0,50.0,50.0
2,0.0,1986.0,2010-06-08,1.0,43355.0,540649.0,2.0,2.0,1.0,3,2.0,10.0,10.0,6.0,6.0,2.0,11.0,5.0,3.0,1.0,8.0,0.0,1.0,17.0,7.0,6.0,6.66666666666667,4087.81170634921,3.4166666666666696,5606.08472222222,41.0,7.0,17.0,24.0,12.0,17.0,21.0,46.0,53.0
3,0.0,1983.0,2013-12-06,0.0,48836.0,310503.0,2.0,2.0,2.0,12,14.0,5.0,9.0,5.0,3.0,4.0,7.0,5.0,1.0,0.0,11.0,0.0,3.0,14.0,5.0,8.0,7.66666666666667,5514.85900234025,3.5,4645.75972222222,42.0,4.0,23.0,21.0,21.0,2.0,26.0,40.0,59.0
4,0.0,1984.0,2009-12-27,0.0,44397.0,34209.0,2.0,2.0,5.0,11,8.0,7.0,3.0,11.0,7.0,4.0,13.0,5.0,4.0,0.0,7.0,0.0,4.0,14.0,1.0,6.0,7.66666666666667,5041.683567821071,3.09090909090909,3239.0939393939398,34.0,14.0,14.0,23.0,17.0,11.0,17.0,47.0,52.0
5,0.0,1986.0,2006-09-01,1.0,43281.0,39963.0,2.0,3.0,6.0,9,10.0,5.0,17.0,6.0,3.0,2.0,10.0,0.0,4.0,0.0,13.0,0.0,2.0,14.0,1.0,8.0,7.91666666666667,5762.76247911445,3.2727272727272703,5345.94393939394,36.0,19.0,22.0,19.0,25.0,11.0,2.0,44.0,55.0
6,0.0,1987.0,2005-06-17,0.0,49867.0,590634.0,2.0,4.0,2.0,12,9.0,4.0,6.0,8.0,3.0,2.0,9.0,3.0,4.0,1.0,10.0,2.0,1.0,12.0,5.0,14.0,7.25,5057.01851851852,3.6363636363636402,6671.075757575761,40.0,2.0,20.0,20.0,17.0,17.0,22.0,67.0,32.0
7,0.0,1984.0,2014-07-30,1.0,42205.0,500.0,2.0,3.0,2.0,6,6.0,7.0,6.0,8.0,3.0,2.0,9.0,5.0,5.0,0.0,8.0,0.0,1.0,12.0,7.0,12.0,9.0,4881.021833490579,2.8333333333333304,7488.777777777779,34.0,14.0,14.0,17.0,26.0,2.0,23.0,32.0,67.0
8,0.0,1976.0,2014-06-27,0.0,42422.0,845055.0,2.0,2.0,6.0,2,4.0,8.0,13.0,10.0,1.0,1.0,9.0,9.0,4.0,0.0,7.0,1.0,3.0,11.0,7.0,8.0,8.0,4724.61985653236,3.2727272727272703,4202.646212121211,36.0,11.0,22.0,19.0,16.0,11.0,19.0,50.0,50.0
9,0.0,1983.0,2006-04-21,1.0,38264.0,1717875.0,1.0,2.0,3.0,2,8.0,9.0,4.0,7.0,2.0,4.0,13.0,9.0,6.0,0.0,7.0,2.0,2.0,10.0,3.0,7.0,6.91666666666667,4632.231018518521,2.9166666666666696,5645.294444444439,35.0,8.0,25.0,14.0,17.0,11.0,22.0,45.0,54.0
10,0.0,1971.0,2012-04-07,0.0,36869.0,1070116.0,2.0,3.0,4.0,7,12.0,3.0,12.0,6.0,4.0,5.0,12.0,3.0,2.0,0.0,16.0,0.0,1.0,11.0,6.0,7.0,8.33333333333333,5469.193025493029,3.5,5020.652777777779,42.0,9.0,23.0,11.0,16.0,19.0,19.0,66.0,33.0
11,0.0,1986.0,2018-01-11,0.0,38003.0,397567.0,1.0,4.0,2.0,4,7.0,5.0,5.0,9.0,3.0,2.0,15.0,6.0,2.0,1.0,3.0,1.0,5.0,14.0,2.0,12.0,6.41666666666667,5170.80117845118,4.5,5455.16865079365,54.0,5.0,24.0,11.0,24.0,9.0,25.0,50.0,50.0
12,0.0,1974.0,2010-09-29,0.0,40798.0,500.0,2.0,2.0,2.0,1,7.0,8.0,3.0,13.0,1.0,2.0,5.0,4.0,2.0,0.0,7.0,0.0,4.0,14.0,10.0,14.0,7.5,4829.23160774411,2.9166666666666696,5650.95,35.0,5.0,14.0,25.0,31.0,14.0,8.0,42.0,57.0
13,0.0,1975.0,2010-02-10,0.0,52613.0,113162.0,1.0,2.0,2.0,2,4.0,7.0,8.0,6.0,1.0,1.0,12.0,4.0,7.0,0.0,10.0,1.0,7.0,14.0,4.0,7.0,6.83333333333333,4860.708333333329,4.0,5397.340476190479,40.0,2.0,25.0,20.0,22.0,12.0,17.0,57.0,42.0
14,0.0,1981.0,2008-09-27,0.0,47852.0,500.0,2.0,4.0,1.0,9,11.0,9.0,10.0,7.0,2.0,5.0,7.0,4.0,3.0,0.0,13.0,1.0,3.0,7.0,4.0,10.0,8.0,5661.4251818783105,2.3636363636363598,5063.45,26.0,7.0,26.0,11.0,30.0,7.0,15.0,57.0,42.0
15,0.0,1977.0,2009-01-03,0.0,51124.0,210259.0,2.0,2.0,3.0,3,5.0,9.0,10.0,3.0,0.0,4.0,14.0,8.0,2.0,0.0,9.0,0.0,6.0,10.0,1.0,8.0,8.66666666666667,5334.211724155471,3.6666666666666696,4830.1,44.0,9.0,9.0,25.0,25.0,15.0,15.0,63.0,36.0
16,0.0,1978.0,2013-09-20,2.0,46200.0,500.0,2.0,1.0,6.0,7,9.0,9.0,5.0,11.0,2.0,3.0,2.0,3.0,4.0,0.0,7.0,0.0,8.0,21.0,1.0,9.0,7.08333333333333,5362.44503968254,3.5,4039.23,35.0,17.0,20.0,20.0,11.0,2.0,28.0,57.0,42.0
17,0.0,1980.0,2011-07-19,0.0,37366.0,500.0,1.0,4.0,6.0,5,7.0,9.0,9.0,5.0,5.0,4.0,11.0,2.0,2.0,0.0,13.0,2.0,5.0,8.0,6.0,6.0,9.25,5843.609301346801,3.09090909090909,5927.61796536797,34.0,5.0,11.0,29.0,20.0,11.0,20.0,50.0,50.0
18,0.0,1986.0,2011-10-25,1.0,42875.0,110451.0,1.0,2.0,2.0,7,11.0,8.0,12.0,8.0,4.0,2.0,10.0,1.0,5.0,0.0,7.0,1.0,6.0,10.0,4.0,11.0,8.33333333333333,4742.11628787879,3.6666666666666696,5033.3787037037,44.0,6.0,15.0,20.0,34.0,6.0,15.0,52.0,47.0
19,0.0,1973.0,2009-12-17,0.0,44089.0,500.0,2.0,4.0,6.0,5,9.0,6.0,4.0,9.0,5.0,3.0,5.0,6.0,3.0,0.0,9.0,1.0,1.0,12.0,8.0,12.0,7.25,5672.466284641279,2.3636363636363598,6253.648484848481,26.0,11.0,23.0,15.0,23.0,11.0,15.0,42.0,57.0
20,0.0,1978.0,2011-01-07,0.0,36462.0,500.0,2.0,3.0,6.0,12,9.0,11.0,11.0,11.0,2.0,3.0,9.0,6.0,3.0,1.0,6.0,1.0,2.0,10.0,7.0,8.0,8.33333333333333,5139.38455572206,3.9166666666666696,4180.36726190476,47.0,10.0,21.0,12.0,23.0,8.0,23.0,51.0,48.0
21,0.0,1983.0,2003-09-23,0.0,47091.0,500.0,2.0,2.0,1.0,8,5.0,4.0,3.0,10.0,0.0,3.0,11.0,5.0,3.0,0.0,8.0,0.0,3.0,17.0,5.0,14.0,8.66666666666667,5966.12546296296,2.6,6500.2,26.0,7.0,30.0,11.0,19.0,11.0,19.0,53.0,46.0
